WebServer,Our
0.0202,0.01576
0.0224,0.01786
0.0213,0.01648
0.0178,0.01531
0.0178,0.01537
0.0218,0.01718
0.0196,0.01703
0.0293,0.02551
0.2326,0.12154
0.0203,0.0168
0.0203,0.01683
0.033,0.0291
0.0203,0.01672
0.0203,0.01676
0.2322,0.12127
0.0219,0.01925
0.0221,0.0192
0.0204,0.01667
0.0277,0.02446
0.0203,0.01674
0,0.00001
0.0229,0.0196
0.0201,0.01665
0.0202,0.01685
0.0278,0.02445
0.0217,0.01777
0.0191,0.01583
0.022,0.01773
0.0197,0.01713
0.0213,0.01766
0.0196,0.0156
0.0191,0.01594
0.0191,0.01585
0.0215,0.01705
0.0201,0.01765
0.0306,0.02544
0.2371,0.11269
0.0226,0.01821
0.0226,0.01823
0.0313,0.02787
0.0229,0.01823
0.0226,0.01821
0.2368,0.11292
0.0086,0.00664
0.0086,0.00662
0.0229,0.01822
0.0275,0.02397
0.0226,0.01822
0.0229,0.01957
0,0
0.0223,0.01816
0.0226,0.01822
0.0276,0.02418
0.0208,0.01697
0.0218,0.01828
0.0203,0.01693
0.0222,0.01833
0.0207,0.01684
0.0224,0.0189
0.0219,0.01823
0.0219,0.01823
0.0224,0.01892
0.0216,0.01759
0.0285,0.02523
0.2369,0.11867
0.0002,0.00013
0.0002,0.00024
0.0326,0.0289
0.0002,0.00018
0.0002,0.00019
0.2366,0.11844
0.0212,0.01767
0.0211,0.01766
0.0002,0.00016
0.029,0.02452
0.0002,0.00018
0.0201,0.01673
0.0223,0.01818
0,0
0.0002,0.0003
0.0291,0.02456
0.0223,0.01818
0.0174,0.01525
0.0224,0.01817
0.02,0.01576
0.0222,0.01817
0.021,0.01658
0.0174,0.01526
0.0174,0.01522
0.0215,0.01709
0.0195,0.01699
0.0292,0.02549
0.2369,0.11842
0.0002,0.00018
0.0002,0.0002
0.0327,0.02895
0.0002,0.0002
0.0002,0.00024
0.2366,0.11841
0.0213,0.01774
0.0216,0.01777
0.0002,0.00019
0.029,0.02452
0.0003,0.0003
0.0202,0.01682
0.0226,0.01823
0.0002,0.00031
0,0
0.029,0.02456
0.0224,0.0181
0.0175,0.01529
0.0224,0.01805
0.02,0.01577
0.0222,0.01805
0.0208,0.01655
0.0175,0.01532
0.0173,0.01522
0.0216,0.01706
0.0195,0.01698
0.0292,0.02548
0.2342,0.11846
0.0292,0.02442
0.0292,0.02439
0.0348,0.03088
0.0292,0.02441
0.0292,0.02438
0.2338,0.1184
0.0273,0.02419
0.0273,0.0242
0.0291,0.02445
0.003,0.00005
0.0292,0.02446
0.0278,0.02451
0.0276,0.02396
0.0291,0.02453
0.029,0.02456
0,0
0.0293,0.02564
0.0271,0.02322
0.0292,0.02557
0.0271,0.02401
0.0293,0.02563
0.0275,0.02422
0.0273,0.02323
0.0271,0.02322
0.0264,0.02326
0.0275,0.0238
0.0186,0.01572
0.2366,0.11995
0.0224,0.01794
0.0225,0.01793
0.0326,0.02873
0.0225,0.01795
0.0224,0.01807
0.2362,0.11969
0.0201,0.01652
0.0197,0.01647
0.0225,0.01793
0.0292,0.02528
0.0225,0.01806
0.0217,0.01775
0.0208,0.01692
0.0223,0.01809
0.0224,0.01786
0.0293,0.02562
0,0
0.0224,0.01792
0.002,0.00025
0.0235,0.01824
0.0006,0.0003
0.0228,0.01951
0.0224,0.01794
0.0223,0.01792
0.023,0.01907
0.0217,0.01728
0.0293,0.0266
0.2364,0.11927
0.0177,0.0152
0.0179,0.01521
0.0323,0.02908
0.018,0.01524
0.0179,0.01527
0.2361,0.11898
0.0218,0.0182
0.0221,0.01817
0.0178,0.01526
0.0271,0.02313
0.0178,0.01523
0.0191,0.01567
0.0218,0.01836
0.0174,0.01517
0.0175,0.01526
0.0271,0.02309
0.0224,0.01784
0,0
0.0228,0.01796
0.0196,0.01601
0.0224,0.01794
0.0175,0.01473
0.0001,0.00011
0.0002,0.00021
0.021,0.01677
0.0196,0.01567
0.0283,0.02507
0.2345,0.12004
0.0225,0.01797
0.0226,0.01788
0.0324,0.02863
0.0226,0.01797
0.0225,0.01798
0.2341,0.11977
